"taxon","evolvedTemp","currentTemp","competition","replicate","y0","y0_se","r","r_se","alpha","alpha_se","pseudo_r2","converged","n_iter","n_obs","y0_at_bound","r_at_bound","alpha_at_bound"
"Protist","25","30","FALSE","9",14.9999999587636,NA,0.131886418627285,NA,0.000184123079285649,NA,0.469288303087876,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","TRUE","9",14.9999910151006,NA,0.21827721622666,NA,0.000482302281787924,NA,0.397713153506868,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","30","25","TRUE","9",14.9999952236247,NA,0.0861409945751644,NA,0.000117546558232855,NA,0.604039459178606,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","9",14.99999276,NA,0.190035893163891,NA,0.000283487351583278,NA,0.372217473141579,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","30","30","TRUE","9",5.00002914832442,NA,0.413986331693603,NA,0.000588762173212848,NA,0.363275326948118,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","25","FALSE","10",14.9999953913328,NA,0.0689998299341161,NA,7.94621916454465e-05,NA,0.805832048934516,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","10",5.00001768537353,NA,0.426183693075931,NA,0.000564023024673948,NA,0.509722147708278,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","25","TRUE","10",14.9999940642734,NA,0.0938600742970846,NA,0.000100744692867648,NA,0.798409751234106,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","10",14.9999948216167,NA,0.0829888915135216,NA,0.000119520203811781,NA,0.543187976591149,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","10",14.9994941335665,NA,0.348005593953386,NA,0.000440935722824934,NA,0.342400455522634,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","30","30","TRUE","10",14.9999904174634,NA,0.0893233732975261,NA,8.93838711384034e-05,NA,0.424284189215506,TRUE,NA,16,TRUE,FALSE,TRUE
