image_name,area_px
30_6.MP4.00_00_18_14.Still002__det2__cls1__crop00491_Simple Segmentation.tiff,3666
30_6.MP4.00_00_34_18.Still004__det0__cls1__crop00492_Simple Segmentation.tiff,2769
30_6.MP4.00_00_39_04.Still005__det0__cls1__crop00494_Simple Segmentation.tiff,5105
30_6.MP4.00_01_10_14.Still009__det0__cls1__crop00496_Simple Segmentation.tiff,3996
30_6.MP4.00_01_28_17.Still011__det0__cls1__crop00498_Simple Segmentation.tiff,3452
30_6.MP4.00_01_37_12.Still013__det0__cls1__crop00499_Simple Segmentation.tiff,4695
30_6.MP4.00_01_54_12.Still018__det0__cls1__crop00503_Simple Segmentation.tiff,5212
30_6.MP4.00_01_54_12.Still018__det1__cls1__crop00504_Simple Segmentation.tiff,3469
30_6.MP4.00_02_02_00.Still020__det0__cls1__crop00506_Simple Segmentation.tiff,3893
30_6.MP4.00_02_26_12.Still026__det1__cls1__crop00511_Simple Segmentation.tiff,4174
30_6.MP4.00_02_32_11.Still028__det0__cls1__crop00512_Simple Segmentation.tiff,3821
30_6.MP4.00_02_48_24.Still031__det0__cls1__crop00514_Simple Segmentation.tiff,4141
30_6.MP4.00_02_54_27.Still032__det0__cls1__crop00515_Simple Segmentation.tiff,2484
30_6.MP4.00_03_12_17.Still037__det0__cls1__crop00516_Simple Segmentation.tiff,5055
30_6.MP4.00_03_12_17.Still037__det1__cls1__crop00517_Simple Segmentation.tiff,6641
30_7.MP4.00_00_02_13.Still001__det0__cls1__crop00523_Simple Segmentation.tiff,2689
30_7.MP4.00_00_02_13.Still001__det1__cls1__crop00524_Simple Segmentation.tiff,2689
30_7.MP4.00_00_10_22.Still003__det0__cls1__crop00525_Simple Segmentation.tiff,3716
30_7.MP4.00_00_36_08.Still008__det1__cls1__crop00527_Simple Segmentation.tiff,2319
30_7.MP4.00_00_41_14.Still009__det0__cls1__crop00528_Simple Segmentation.tiff,4068
30_7.MP4.00_00_56_13.Still012__det0__cls1__crop00532_Simple Segmentation.tiff,2743
30_7.MP4.00_01_07_27.Still014__det0__cls1__crop00534_Simple Segmentation.tiff,2752
30_7.MP4.00_01_13_15.Still016__det0__cls1__crop00535_Simple Segmentation.tiff,4077
